day_n,retention_pct
0,100.0
1,2.7584222566390544
2,1.2330382642549624
3,0.8857045425482033
4,0.7084499637676012
5,0.5996817232413079
6,0.5625967973401157
7,0.5406442262606743
8,0.43081032694411686
9,0.36942838062490235
10,0.315221870160133
11,0.30087099845124254
12,0.2843177652424729
13,0.29355347475809546
14,0.2939086943548502
15,0.24986146435726567
16,0.223362082439364
17,0.20048594040836046
18,0.1834353997641342
19,0.188621605876753
20,0.20013072081160574
21,0.2004148964890095
22,0.17832023757086632
23,0.15835689623325142
24,0.15274442660452692
25,0.14286932181474588
26,0.1440770684437119
27,0.15466261242700236
28,0.15942255502351552
29,0.14514272723397606
30,0.12766592307364413
